"class",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
1,-0.4686,-0.4329,-0.4,-0.3481,-0.2876,-0.2369,-0.1912,-0.1525,-0.1149,-0.1056,-0.1131,-0.1176,-0.1039,-0.0872,-0.0635,-0.0339,-0.4734,-0.4653,-0.4522,-0.4314,-0.4027,-0.3695,-0.3338,-0.2976,-0.261,-0.2299,-0.2066,-0.1888,-0.1718,-0.1549,-0.1366,-0.1161,0.0097,0.0649,0.1045,0.1666,0.2301,0.2653,0.2852,0.2901,0.2924,0.2487,0.187,0.1423,0.1358,0.1354,0.1461,0.1643,0.7333,0.9807,0.9036,0.9728,0.9986,1.0079,2.5232,-0.7407,2.9441,0.4118,1.6762,0.4084,-9.2,0.0977,-2.1999,1.0218,0.7991,4.4727,10.952,1.0611,0.8908,-1.7857,0.2734,-1.1956,0.0013,1,0.5385,0.0078,45.302,0.0001,0.0015,0,0.0014,0,0.0003,0,0.003,0.002,0.0018,0,0.0005,0,4.7594,3.0889,0.86,0.25,0.1208,41.231,2,1.0769,0.6192,0.0612,0,0.9728,0,1.6046,50,50,50,0.1953,0,0
1,-0.0076,-0.0107,-0.0114,-0.0103,-0.006,0.0005,0.0073,0.0109,0.0152,0.0168,0.0178,0.0192,0.0193,0.0192,0.0189,0.0208,0.0014,-0.001,-0.0031,-0.0045,-0.0048,-0.0038,-0.0016,0.0009,0.0038,0.0064,0.0087,0.0108,0.0125,0.0138,0.0148,0.016,-0.0181,-0.0194,-0.0167,-0.0114,-0.0024,0.0086,0.0177,0.0199,0.0228,0.0208,0.0183,0.0169,0.0137,0.0107,0.0081,0.0095,1,0.9944,0.9191,0.9747,1.0006,0.4623,1.5556,-0.5218,2.2082,-0.1464,2.4392,1.0626,-0.0143,2.1499,-0.0289,1.4573,0.9935,4.7011,4.4239,1.3179,0.9194,-0.2534,1.4947,-0.3565,0.0007,0.9978,0.7716,0.0313,49.557,0.0002,0.0001,0,0.0007,0,0.0005,0,0.0007,0.0001,0.0007,0,0,0,1.1211,1.2423,0.0455,0.0386,0.3792,9.9658,1,2.1637,0.4622,0.1747,0.4327,-0.0007,0.0592,1.9426,50,50,50,0.3788,0,0
1,-0.0284,-0.0193,-0.0031,0.0016,0.0212,0.042,0.0553,0.0668,0.075,0.0797,0.0826,0.0854,0.0891,0.0973,0.1027,0.1073,-0.0151,-0.0159,-0.0134,-0.0104,-0.004,0.0052,0.0152,0.0255,0.0354,0.0443,0.0519,0.0586,0.0647,0.0713,0.0775,0.0835,-0.0266,-0.0067,0.0205,0.024,0.0506,0.0736,0.0803,0.0825,0.0791,0.0709,0.0613,0.0536,0.0488,0.0522,0.0503,0.0476,0.9897,0.9746,0.8998,0.9666,1.0002,-0.963,2.4412,0.4342,1.3267,0.365,1.5567,0.2553,-0.8539,3.156,-10.556,1.8812,0.2475,3.5816,14.028,1.4257,0.7327,-0.6279,1.5248,-3.75,0.0012,1,0.3,0.0625,15.302,0.0002,0.001,0,0.0009,0,-0.0002,0,0.0006,0.0001,0.0012,0,0.0004,0,1.1262,1.26,0.174,0.1414,0.3958,9.8,1,0.5,0.6668,0.0495,0,0.9666,0,0.1231,50,50,50,0.6383,0,0
0,-0.0234,-0.0203,-0.012,-0.003,0.0073,0.0177,0.0272,0.0367,0.0382,0.0373,0.0378,0.0402,0.0423,0.0475,0.0543,0.0661,-0.0271,-0.0257,-0.023,-0.019,-0.0137,-0.0074,-0.0005,0.0069,0.0132,0.018,0.022,0.0256,0.029,0.0327,0.037,0.0428,0.0073,0.0109,0.0219,0.032,0.0421,0.0502,0.0554,0.0596,0.05,0.0386,0.0317,0.0291,0.0268,0.0297,0.0346,0.0466,0.6438,1.025,0.9152,0.9616,1.0008,0.9049,2.5666,-0.167,1.7477,0.2409,2.1187,0.9146,-1.3333,0.4272,-0.6228,1.0401,0.9466,10.665,11.661,1.1884,0.8398,-0.8504,2.0095,-1.8685,0.0018,0.7033,0.63,0.001,45.117,0.0004,0.0003,0,0.003,0.0001,0.0004,0,0.0073,0.0058,0.0071,0.0001,0.0071,0.0001,0.6244,0.7354,0.0681,0.1004,0.9083,15,1,1.6772,0.5868,0.2799,1.6231,-0.0009,0.8376,0.9572,50,50,50,1.3133,0,0
1,0.125,0.1114,0.0986,0.1002,0.09,0.0801,0.0707,0.0625,0.0554,0.0492,0.0437,0.1148,0.1779,0.2062,0.2228,0.2548,0.1867,0.1716,0.157,0.1457,0.1345,0.1236,0.1131,0.1029,0.0934,0.0846,0.0764,0.0841,0.1029,0.1235,0.1434,0.1657,-0.1234,-0.1206,-0.1169,-0.0909,-0.0891,-0.087,-0.0847,-0.0809,-0.0761,-0.0708,-0.0653,0.0614,0.1501,0.1653,0.1588,0.1783,0.8333,1.0187,0.9992,1.0187,1.0009,-0.6422,1.5432,-0.3451,4.3732,0.3863,1.5152,0.4853,-0.2632,0.6985,-0.3788,1.1159,0.9695,6.0294,12.424,1.4695,0.9207,-0.1688,2.8309,-0.9848,0.0036,0.9833,0.8556,0.5,34.773,0.0002,0.0039,0.0001,0.0022,0,0.0008,0,0.0011,0.0005,0.0037,0,0.0002,0,0.8834,3.4057,0.912,0.5182,0.0208,8.8889,0,1,0,0.0061,0.2003,-0.0015,0.02,0.9638,50,50,50,0.4412,0,0
1,0.0674,0.0579,0.057,0.0596,0.0674,0.0671,0.0542,0.0442,0.0431,0.0362,0.0287,0.0305,0.0348,0.0297,0.0518,0.0852,0.0512,0.0526,0.0534,0.0547,0.0572,0.0592,0.0582,0.0554,0.053,0.0496,0.0454,0.0424,0.0409,0.0387,0.0413,0.0501,0.0323,0.0107,0.0071,0.0099,0.0204,0.0159,-0.008,-0.0223,-0.0197,-0.0269,-0.0334,-0.0239,-0.0123,-0.0179,0.021,0.0703,0.9064,1.0309,0.9751,1.018,1.0016,0.007,1.4149,-0.5072,2.4251,-0.0064,0.604,0.4343,-0.3588,7.4747,-6.1744,2.2231,0.5612,6.1111,14.07,1.4463,0.876,-0.2778,2.7273,-1.7442,0.0026,1,0.8986,0.0625,25.656,0.0006,0.0007,0,0.0009,0,0.0004,0,0.0042,0.0024,0.006,0.0001,0.005,0.0001,0.8119,1.0889,0.1255,0.1272,0.8375,13.739,1,3.3339,0.0968,0.2155,1.8336,-0.0002,0.6871,0.1885,43.355,44.219,41.626,0.7071,-2.5931,-1.7287
0,0.042,0.0382,0.0276,0.0142,0.002,-0.0117,-0.0206,-0.0242,-0.0267,-0.0284,-0.0294,0.0292,0.07,0.0852,0.0962,0.1036,0.071,0.0644,0.0571,0.0485,0.0392,0.029,0.0191,0.0104,0.003,-0.0033,-0.0085,-0.0009,0.0133,0.0277,0.0414,0.0538,-0.058,-0.0525,-0.0589,-0.0686,-0.0745,-0.0813,-0.0794,-0.0692,-0.0594,-0.0502,-0.0417,0.0603,0.1135,0.1151,0.1096,0.0997,0.7143,1.0283,1.0011,1.0253,1.0026,0.6913,1.9271,-0.2963,6.1787,0.0807,0.4954,0.6601,-0.5854,1.0099,-0.8955,1.203,0.8812,4.9754,7.5373,1.396,1,0,1.9704,0,0.0057,1,1,0.5,18.628,0.0009,0.0002,0,0.001,0,0.0013,0,0.0068,0.0035,0.0069,0.0001,0.0011,0,0.5001,1.0421,0.308,0.4235,0.0208,13.95,0,1,0,0.0149,0.5633,-1.0276,15.988,0.5365,50,50,50,0,0,0
0,0.0431,0.0457,0.0344,0.0244,0.0163,0.009,0.0031,-0.0007,-0.0037,-0.006,-0.0085,-0.0136,-0.0134,-0.0068,0.0089,0.0243,0.0387,0.0401,0.0389,0.036,0.0321,0.0275,0.0226,0.0179,0.0136,0.0097,0.006,0.0021,-0.001,-0.0022,0,0.0049,0.0088,0.0112,-0.0091,-0.0233,-0.0316,-0.037,-0.039,-0.0373,-0.0346,-0.0314,-0.0291,-0.0314,-0.0249,-0.0092,0.0177,0.0387,0.8844,1.0398,0.9939,1.0214,0.9968,-1.1381,6.1368,-0.5312,2.4228,-0.8138,2.4478,0.3727,-0.2013,5.7842,-3.125,1.8456,0.8297,6.8401,18.354,1.6527,1,0,4.4643,0,0.0027,1,1,0.0625,16.249,0.0006,0.002,0,-0.0014,0,0.0009,0,0.0041,0.0026,0.005,0,0.0042,0,0.2796,0.4305,-0.0974,-0.2596,0.8458,3.5061,0,1,0,0.1479,0.7177,-1.0287,185.38,0.7838,32.826,38.206,22.066,0,-16.14,-10.76
1,0.0039,-0.005,-0.0214,-0.0221,-0.0287,-0.028,-0.0232,-0.0191,-0.0157,-0.016,-0.0177,-0.0164,-0.0153,-0.0181,-0.0162,0.0062,0.0248,0.0189,0.0108,0.0042,-0.0024,-0.0075,-0.0106,-0.0123,-0.013,-0.0136,-0.0144,-0.0148,-0.0149,-0.0156,-0.0157,-0.0113,-0.0419,-0.0476,-0.0644,-0.0526,-0.0527,-0.0411,-0.0251,-0.0136,-0.0054,-0.0049,-0.0066,-0.0032,-0.0007,-0.0052,-0.001,0.0351,0.9868,1.0398,0.9939,1.0299,1.0043,0.4755,1.5801,0.0763,1.0486,-0.2544,1.3198,0.5803,-1.9034,0.3297,-1.0813,1.0654,0.8754,5.0378,8.6806,1.052,0.7406,-4.9892,0.262,-2.2521,0.01,0.9119,0.8721,0.5,46.108,0.0008,0.004,0.0001,0.0089,0.0002,-0.0002,0,0.009,0.0054,0.0103,0.0001,0.0004,0,2.356,0.8632,-0.3516,-0.3122,0.9625,21.471,1,9.5549,0.0979,0.2303,0,1.0299,0,1.9114,33.752,38.515,24.227,1.2566,-14.288,-9.5253
1,0.0609,0.0582,0.057,0.0522,0.051,0.0519,0.0521,0.0516,0.0506,0.0851,0.0793,0.0986,0.1118,0.1113,0.12,0.1262,0.0731,0.0701,0.0675,0.0644,0.0618,0.0598,0.0582,0.0569,0.0556,0.0615,0.0651,0.0718,0.0798,0.0861,0.0929,0.0995,-0.0243,-0.0238,-0.021,-0.0245,-0.0214,-0.0157,-0.0124,-0.0107,-0.0101,0.0472,0.0285,0.0536,0.064,0.0503,0.0542,0.0533,1,1.0257,1.0009,1.0239,0.9999,0.4043,3.8121,2.1405,10.47,-0.1596,0.895,3.4979,-1.1161,6.9479,-2.2163,1.2073,0.7687,33.522,9.5812,1.2961,0.9334,-0.225,9.9256,-0.6383,0.0037,1,0.2621,0.5,29.107,-0.0003,-0.0005,0,-0.0065,-0.0001,0.0005,0,0.0059,0.007,0.0087,0.0001,0.0051,0.0002,0.9653,0.4074,-0.2167,-0.2921,0.0292,15.746,0,1,0,0.0741,0.3555,-0.0018,0.4266,0.5876,50,50,50,1.6129,0,0
